Date,Flow (m³/s)
2024-07-11,162.0
2024-08-11,63.4
2024-09-11,66.6
2024-10-11,132.0
2024-11-11,42.0
2024-12-11,75.8
2024-01-12,83.5
2024-02-12,74.7
2024-03-12,77.8
2024-04-12,124.0
2024-05-12,103.0
2024-06-12,253.0
2024-07-12,162.0
2024-08-12,57.3
2024-09-12,90.4
2024-10-12,138.0
2024-11-12,41.6
2024-12-12,83.9
2024-01-13,83.3
2024-02-13,72.8
2024-03-13,113.0
2024-04-13,116.0
2024-05-13,103.0
2024-06-13,244.0
2024-07-13,168.0
2024-08-13,53.5
2024-09-13,88.5
2024-10-13,159.0
2024-11-13,39.2
2024-12-13,80.0
2024-01-14,79.2
2024-02-14,73.0
2024-03-14,117.0
2024-04-14,103.0
2024-05-14,102.0
2024-06-14,233.0
2024-07-14,161.0
2024-08-14,56.4
2024-09-14,96.5
2024-10-14,152.0
2024-11-14,38.5
2024-12-14,74.5
2024-01-15,72.5
2024-02-15,81.8
2024-03-15,128.0
2024-04-15,98.4
2024-05-15,102.0
2024-06-15,212.0
2024-07-15,143.0
2024-08-15,60.3
2024-09-15,88.8
2024-10-15,148.0
2024-11-15,38.3
2024-12-15,70.2
2024-01-16,63.5
2024-02-16,82.0
2024-03-16,142.0
2024-04-16,101.0
2024-05-16,104.0
2024-06-16,180.0
2024-07-16,171.0
2024-08-16,52.6
2024-09-16,85.6
2024-10-16,147.0
2024-11-16,37.7
2024-12-16,64.3
2024-01-17,74.0
2024-02-17,80.3
2024-03-17,132.0
2024-04-17,113.0
2024-05-17,145.0
2024-06-17,159.0
2024-07-17,155.0
2024-08-17,53.6
2024-09-17,85.5
2024-10-17,130.0
2024-11-17,37.9
2024-12-17,63.1
2024-01-18,115.0
2024-02-18,72.2
2024-03-18,141.0
2024-04-18,139.0
2024-05-18,145.0
2024-06-18,158.0
2024-07-18,145.0
2024-08-18,64.9
2024-09-18,85.0
2024-10-18,124.0
2024-11-18,37.5
2024-12-18,54.4
2024-01-19,118.0
2024-02-19,74.0
2024-03-19,158.0
2024-04-19,149.0
2024-05-19,140.0
2024-06-19,149.0
2024-07-19,125.0
2024-08-19,97.6
2024-09-19,84.3
2024-10-19,121.0
2024-11-19,37.6
2024-12-19,60.2
2024-01-20,109.0
2024-02-20,88.5
2024-03-20,136.0
2024-04-20,175.0
2024-05-20,123.0
2024-06-20,144.0
2024-07-20,122.0
2024-08-20,91.1
2024-09-20,80.5
2024-10-20,104.0
2024-11-20,46.3
2024-12-20,71.5
2024-01-21,106.0
2024-02-21,95.8
2024-03-21,129.0
2024-04-21,174.0
2024-05-21,106.0
2024-06-21,168.0
2024-07-21,103.0
2024-08-21,78.2
2024-09-21,73.8
2024-10-21,104.0
2024-11-21,56.0
2024-12-21,75.0
2024-01-22,106.0
2024-02-22,104.0
2024-03-22,129.0
2024-04-22,152.0
2024-05-22,125.0
2024-06-22,224.0
2024-07-22,132.0
2024-08-22,64.4
2024-09-22,73.8
2024-10-22,95.5
2024-11-22,64.5
2024-12-22,86.1
2024-01-23,119.0
2024-02-23,134.0
2024-03-23,128.0
2024-04-23,129.0
2024-05-23,146.0
2024-06-23,238.0
2024-07-23,130.0
2024-08-23,60.5
2024-09-23,73.6
2024-10-23,98.3
2024-11-23,62.3
2024-12-23,103.0
2024-01-24,112.0
2024-02-24,127.0
2024-03-24,130.0
2024-04-24,117.0
2024-05-24,165.0
2024-06-24,207.0
2024-07-24,121.0
2024-08-24,52.7
2024-09-24,73.5
2024-10-24,95.5
2024-11-24,49.5
2024-12-24,97.7
2024-01-25,117.0
2024-02-25,107.0
2024-03-25,129.0
2024-04-25,108.0
2024-05-25,143.0
2024-06-25,186.0
2024-07-25,105.0
2024-08-25,55.7
2024-09-25,76.8
2024-10-25,94.9
2024-11-25,46.7
2024-12-25,82.3
2024-01-26,125.0
2024-02-26,96.7
2024-03-26,128.0
2024-04-26,101.0
2024-05-26,123.0
2024-06-26,192.0
2024-07-26,104.0
2024-08-26,55.2
2024-09-26,87.0
2024-10-26,94.6
2024-11-26,76.0
2024-12-26,70.8
2024-01-27,137.0
2024-02-27,92.9
2024-03-27,126.0
2024-04-27,102.0
2024-05-27,105.0
2024-06-27,187.0
2024-07-27,103.0
2024-08-27,53.2
2024-09-27,101.0
2024-10-27,89.6
2024-11-27,82.0
2024-12-27,65.3
2024-01-28,129.0
2024-02-28,92.4
2024-03-28,127.0
2024-04-28,106.0
2024-05-28,157.0
2024-06-28,187.0
2024-07-28,103.0
2024-08-28,52.6
2024-09-28,108.0
2024-10-28,79.3
2024-11-28,98.8
2024-12-28,65.0
2024-01-29,127.0
2024-02-29,92.3
2024-03-29,115.0
2024-04-29,102.0
2024-05-29,136.0
2024-06-29,185.0
2024-07-29,93.8
2024-08-29,56.5
2024-09-29,134.0
2024-10-29,73.1
2024-11-29,116.0
2024-12-29,65.0
2024-01-30,125.0
2024-03-30,103.0
2024-04-30,108.0
2024-05-30,162.0
2024-06-30,180.0
2024-07-30,92.9
2024-08-30,62.3
2024-09-30,107.0
2024-10-30,73.1
2024-11-30,106.0
2024-12-30,63.3
2024-01-31,112.0
2024-03-31,95.7
2024-05-31,290.0
2024-07-31,86.5
2024-08-31,61.0
2024-10-31,73.3
2024-12-31,54.3
