Datum,Standort,Kurzbezeichnung,Parameter,Parametergruppe,Einheit,Bestimmungsgrenze_Nachweisgrenze,Messwert,Richtwert,Höchstwert,CleanedName,lat,lon
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,FBSA (Perfluorbutansulfonamid),Per- und polyfluorierte Alkylverbindungen (PFAS),ng/L,0.5,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,FHxSA (Perfluorhexansulfonamid),Per- und polyfluorierte Alkylverbindungen (PFAS),ng/L,0.5,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,GenX (HFPO-DA),Per- und polyfluorierte Alkylverbindungen (PFAS),ng/L,0.5,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,N-EtFOSAA (N-Ethylperfluoroctansulfonamidessigsäure),Per- und polyfluorierte Alkylverbindungen (PFAS),ng/L,1.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,N-MeFOSAA (N-Methylperfluoroctansulfonamidessigsäure),Per- und polyfluorierte Alkylverbindungen (PFAS),ng/L,0.5,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,PFBA (Perfluorbutansäure),Per- und polyfluorierte Alkylverbindungen (PFAS),ng/L,2.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,PFBS (Perfluorbutansulfonsäure),Per- und polyfluorierte Alkylverbindungen (PFAS),ng/L,2.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,PFDA (Perfluordecansäure),Per- und polyfluorierte Alkylverbindungen (PFAS),ng/L,1.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,PFDoDA (Perfluordodecansäure),Per- und polyfluorierte Alkylverbindungen (PFAS),ng/L,1.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,PFDoDS (Perfluordodecansulfonsäure),Per- und polyfluorierte Alkylverbindungen (PFAS),ng/L,2.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,PFDS (Perfluordecansulfonsäure),Per- und polyfluorierte Alkylverbindungen (PFAS),ng/L,2.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,PFHpA (Perfluorheptansäure),Per- und polyfluorierte Alkylverbindungen (PFAS),ng/L,1.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,PFHpS (Perfluorheptansulfonsäure),Per- und polyfluorierte Alkylverbindungen (PFAS),ng/L,1.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,PFHxA (Perfluorhexansäure),Per- und polyfluorierte Alkylverbindungen (PFAS),ng/L,2.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,PFHxS (Perfluorhexansulfonsäure),Per- und polyfluorierte Alkylverbindungen (PFAS),ng/L,0.5,,,300.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,PFNA (Perfluornonansäure),Per- und polyfluorierte Alkylverbindungen (PFAS),ng/L,0.3,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,PFNS (Perfluornonansulfonsäure),Per- und polyfluorierte Alkylverbindungen (PFAS),ng/L,1.5,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,PFOA (Perfluoroctansäure),Per- und polyfluorierte Alkylverbindungen (PFAS),ng/L,0.3,0.92,,500.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,PFOS (Perfluoroctansulfonsäure),Per- und polyfluorierte Alkylverbindungen (PFAS),ng/L,0.5,1.4,,300.0,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,PFOSA (Perfluoroctansulfonamid),Per- und polyfluorierte Alkylverbindungen (PFAS),ng/L,4.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,PFPeA (Perfluorpentansäure),Per- und polyfluorierte Alkylverbindungen (PFAS),ng/L,2.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,PFPeS (Perfluorpentansulfonsäure),Per- und polyfluorierte Alkylverbindungen (PFAS),ng/L,1.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,PFTeDA (Perfluortetradecansäure),Per- und polyfluorierte Alkylverbindungen (PFAS),ng/L,1.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,PFTrDA (Perfluortridecansäure),Per- und polyfluorierte Alkylverbindungen (PFAS),ng/L,3.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,PFTrDS (Perfluortridecansulfonsäure),Per- und polyfluorierte Alkylverbindungen (PFAS),ng/L,1.5,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,PFUnDA (Perfluorundecansäure),Per- und polyfluorierte Alkylverbindungen (PFAS),ng/L,1.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,PFUnDS (Perfluorundecansulfonsäure),Per- und polyfluorierte Alkylverbindungen (PFAS),ng/L,1.5,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Summe PFAS-20,Per- und polyfluorierte Alkylverbindungen (PFAS),ng/L,27.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,"2,6-Dichlorbenzamid",Pestizide und Metaboliten,ng/L,5.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Asulam,Pestizide und Metaboliten,ng/L,5.0,,,,Seewasserwerk Moos,47.33180605,8.531245451906134
2023-08-16,"Seewasserwerk Moos, Reinwasser",W0115/01,Atrazin,Pestizide und Metaboliten,ng/L,5.0,,,100.0,Seewasserwerk Moos,47.33180605,8.531245451906134
